coreName	sampleID	weight_mg	Acetate_uM	Propionate_uM	Butyrate_uM	Isovalerate_uM	Valerate_uM	Hexanoate_uM	Heptanoate_uM	Octanoate_uM	Acetate_nmol	Propionate_nmol	Butyrate_nmol	Isovalerate_nmol	Valerate_nmol	Hexanoate_nmol	Heptanoate_nmol	Octanoate_nmol
24_R4_A	R4_A	59.98	6990.121971	1855.307481	1324.871245	678.4220012	133.2577683	40.24919964	10.06192132	7.487947754	34.96226394	9.279630614	6.62656508	3.393241086	0.666511012	0.201313103	0.050326382	0.037452223
25_R4_B	R4_B	38.52	2270.082321	994.5151842	690.2286185	326.899008	108.9811375	39.97123333	10.07539089	14.87899239	17.67976886	7.74544536	5.375612294	2.54594243	0.848762753	0.31130244	0.078468776	0.115880003
26_R4_C	R4_C	10.35	1638.669295	863.7094498	391.5240996	150.8361099	159.6445837	56.99109186	13.13312846	23.49669935	47.49766072	25.03505652	11.34852463	4.372061157	4.627379238	1.651915706	0.38067039	0.681063749
27_R4_D	R4_D	40.8	4177.150231	1316.565935	949.5970873	326.424458	457.4234032	116.7421011	27.07744573	11.21695785	30.71433993	9.680631877	6.982331524	2.400179838	3.363407376	0.858397803	0.199098866	0.082477631
28_R4_E	R4_E	48.11	4824.896615	1457.333445	1082.194898	306.9264446	404.8973423	114.609214	24.3877572	14.66479754	30.08665526	9.087508492	6.748253366	1.913904248	2.524822338	0.714669802	0.152074977	0.091445422
29_R4_F	R4_F	69.85	10080.10337	4382.901258	2284.889226	241.901815	331.1816944	45.75028536	10.34060625	8.064148102	43.29321418	18.82420011	9.813411133	1.038948382	1.422398115	0.196493709	0.044412053	0.034634852
30_d4_A	D4_A	36.03	3800.895424	979.8248766	1327.256492	179.3628787	225.8637073	99.06700681	13.87723332	8.837521593	31.64775541	8.158408631	11.05126138	1.493446117	1.880630369	0.824870998	0.115547322	0.073584693
31_d4_B	D4_B	99.89	6112.31152	3459.495829	1631.406358	211.7237623	266.8655839	141.265763	18.96003415	11.97146064	18.3571274	10.38991639	4.899608643	0.635870745	0.801478378	0.42426398	0.056942739	0.035953931
32_R5_B	R5_B	65.02	2026.244943	1134.922193	1121.197267	413.1624295	120.7937414	41.06294188	10.20082412	20.12566808	9.349023114	5.236491199	5.173164875	1.906316962	0.557338087	0.189462974	0.047066245	0.092859127
33_R5_C	R5_C	54.32	5081.9385	1418.539021	1386.189093	668.4052203	688.4699462	56.29882257	10.29412828	16.18560776	28.06667066	7.834346583	7.655683505	3.691486857	3.802300881	0.310928696	0.056852697	0.089390323
34_R5_D	R5_D	29.07	2992.896952	1117.490863	771.5901268	305.1596317	331.4128975	43.39628517	10.10808049	8.755037028	30.88644945	11.53241344	7.962746407	3.149222205	3.420153741	0.44784608	0.104314556	0.090351259
35_R5_E	R5_E	53.1	4152.994352	824.9630806	2449.007016	147.1990984	133.7315635	73.930045	10.31577923	27.50517649	23.46324493	4.660808365	13.83619783	0.831633324	0.755545556	0.41768387	0.058281239	0.155396477
36_R5_F	R5_F	43.01	2118.629286	925.8827372	561.5868715	383.6238274	139.0384252	40.83088233	10.08672782	5.946863613	14.77769788	6.45814511	3.917136979	2.675823023	0.969809988	0.284800388	0.070356158	0.0414801
37_d5_A	D5_A	129.05	8973.787192	3218.082649	1209.709208	194.9936893	316.022957	41.08222493	10.09766217	0	20.86118681	7.481013519	2.812187232	0.453297999	0.73465236	0.095503041	0.023473837	0
38_d5_B	D5_B	50.29	6390.139679	2175.657949	846.641897	192.2133082	258.5971121	40.85226321	9.995581207	0	38.11974356	12.9786714	5.050558145	1.146629399	1.542635387	0.243700119	0.059627647	0
39_R6_A	R6_A	60.27	1509.273017	596.7519496	301.6160851	183.3523478	117.3736413	40.25391598	9.971553429	0	7.512558574	2.970392979	1.501324466	0.912654792	0.58423913	0.200367924	0.049634412	0
40_R6_B	R6_B	39.37	1031.747442	525.0461783	218.424222	152.5152745	104.6874964	39.98536334	0	0	7.861931229	4.00085988	1.6643959	1.162168716	0.797720318	0.304689078	0	0
41_R6_C	R6_C	48.89	2933.124455	1194.189486	757.5046918	436.166657	549.2612011	42.16927019	10.0542483	6.258898439	17.99830919	7.327814394	4.648218604	2.676416386	3.370389862	0.258760095	0.061695121	0.038406004
42_R6_D	R6_D	56.12	3829.4292	760.7433377	948.5546249	243.5761202	300.7903883	41.45905387	0	6.762850687	20.470933	4.066696388	5.070676897	1.302081897	1.607931513	0.221627159	0	0.036152088
43_R6_E	R6_E	50.72	5754.112357	1107.628386	1444.852168	452.9536108	531.789676	45.50322932	10.11544507	0	34.03457624	6.551429725	8.546049891	2.67914202	3.145443667	0.269143707	0.059831103	0
44_R6_F	R6_F	79.84	6005.391195	1046.640701	1238.19525	424.1635132	526.925059	44.22459022	10.13163748	8.657822636	22.56534768	3.932768166	4.652537262	1.593800776	1.979928829	0.166174562	0.03806978	0.032531899
